Date,pm25_median,pm10_median,no2_median,so2_median,co_median,o3_median,temperature_median,humidity_median,wind-speed_median,AQI,Category
2021-03-07,7.87,31.48,34.98,8.65,0.12,28.28,27.5,41.5,9.12,43.7,Good
2023-07-02,17.69,31.21,14.52,29.92,0.78,44.61,26.3,54.7,3.96,44.6,Good
2024-01-13,13.79,43.51,30.75,20.07,0.62,14.86,12.5,43.5,4.21,43.5,Good
2022-03-03,334.27,567.65,468.26,1994.68,47.14,985.11,9.0,92.8,1.11,498.7,Severe
2024-07-10,103.02,321.99,211.18,709.3,13.86,224.01,41.9,55.3,3.16,303.9,Poor
2021-07-07,118.96,327.57,245.74,790.59,13.79,190.96,35.1,77.4,2.39,297.8,Poor
2023-03-05,56.92,93.24,50.53,48.89,1.45,62.62,18.3,39.9,5.99,95.0,Satisfactory
2024-01-08,16.56,47.89,10.65,39.48,1.0,36.87,19.9,51.9,5.28,50.0,Good
2024-09-08,70.06,236.12,152.27,329.29,4.71,92.25,30.7,37.3,5.76,190.8,Moderate
2022-11-22,99.47,274.65,252.99,626.03,15.02,181.08,38.8,47.8,4.81,273.2,Poor
2021-09-21,104.26,268.11,276.47,774.83,11.04,187.15,12.7,82.0,2.57,296.5,Poor
2022-10-21,94.2,331.44,261.99,390.08,11.51,183.95,25.1,80.5,2.08,282.2,Poor
2021-03-31,128.78,356.64,373.93,1485.93,30.15,294.32,20.8,67.8,1.59,385.9,Very Poor
2023-09-17,118.42,312.13,200.34,671.03,15.57,170.64,21.5,49.8,3.2,294.8,Poor
2022-03-29,48.68,96.36,72.63,56.48,1.27,84.76,29.5,43.5,4.83,96.4,Satisfactory
2021-02-08,247.03,362.08,354.94,825.46,23.97,430.17,20.8,95.5,1.47,397.7,Very Poor
2022-09-14,192.4,365.93,307.65,1489.7,27.28,458.54,34.3,72.2,1.15,386.3,Very Poor
2024-01-27,77.2,243.18,151.65,240.18,6.97,103.88,19.0,51.8,4.73,195.5,Moderate
2022-11-04,122.1,382.52,345.86,1336.85,20.88,529.63,32.2,58.0,0.88,367.4,Very Poor
2022-01-06,64.9,122.33,169.22,181.76,9.5,119.09,8.4,66.7,3.99,193.8,Moderate
2021-04-05,100.87,326.12,193.88,487.9,15.19,221.32,8.1,59.0,3.62,303.4,Poor
2021-12-31,76.46,166.52,147.63,318.28,3.01,100.47,29.8,82.3,3.94,179.6,Moderate
2022-05-04,48.61,98.15,71.84,45.82,1.41,75.99,30.0,46.3,6.25,98.2,Satisfactory
2024-05-17,51.76,91.2,50.81,76.67,1.78,80.15,25.9,30.9,7.8,95.9,Satisfactory
2022-03-26,112.68,304.87,199.32,642.2,16.29,224.83,20.4,51.7,3.06,304.1,Poor
2022-04-03,24.12,47.15,15.06,5.82,0.13,37.92,28.5,55.5,5.82,47.2,Good
2023-08-04,83.66,235.94,83.91,113.36,8.46,177.74,40.9,38.0,5.28,224.9,Moderate
2023-08-07,79.94,121.58,147.47,257.59,4.81,146.73,39.0,66.7,5.83,169.0,Moderate
2023-01-07,26.79,48.15,30.06,34.59,0.77,5.68,12.3,36.6,9.74,48.2,Good
2021-01-02,62.56,248.38,173.43,236.52,3.43,97.97,24.1,45.9,2.89,198.9,Moderate
2021-05-13,80.26,178.17,114.1,298.47,8.76,132.56,15.3,63.6,3.18,184.6,Moderate
2021-02-16,39.87,59.47,78.42,67.83,1.89,89.04,22.1,75.3,6.01,98.1,Satisfactory
2023-09-27,86.52,120.71,128.93,228.54,9.92,119.46,20.1,55.9,4.43,199.0,Moderate
2022-02-03,396.51,530.51,409.27,1672.78,41.91,758.31,12.7,72.0,0.78,459.5,Severe
2023-08-01,239.84,384.97,373.0,1078.5,26.84,766.31,41.0,89.2,1.72,408.2,Very Poor
2023-12-25,26.64,33.05,34.8,4.97,0.19,26.7,22.6,53.6,10.2,44.4,Good
2023-10-01,202.36,380.91,354.77,1277.84,30.86,639.2,10.8,83.6,2.22,381.7,Very Poor
2022-09-04,392.61,764.56,421.97,1707.82,46.96,773.59,10.6,60.8,1.72,500.0,Severe
2024-02-21,113.13,282.56,208.77,633.05,16.24,184.6,31.5,84.5,3.8,289.2,Poor
2024-01-01,13.73,37.37,18.3,38.77,0.19,35.99,17.0,40.3,7.43,48.5,Good
2023-10-05,102.06,289.31,250.77,493.93,15.25,160.33,11.8,61.2,2.35,275.2,Poor
2023-08-21,231.16,389.33,282.44,1499.07,18.13,665.29,32.9,78.5,2.22,387.5,Very Poor
2023-09-03,434.86,582.02,407.67,1946.13,44.35,822.65,32.0,63.4,0.54,489.5,Severe
2024-09-25,65.97,144.56,154.61,211.64,7.47,146.64,32.2,68.6,5.88,174.8,Moderate
2023-01-12,39.84,54.97,70.57,51.33,1.71,68.14,28.1,41.8,6.52,88.4,Satisfactory
2024-12-10,107.45,308.76,191.89,406.62,10.81,187.12,23.2,87.3,3.28,259.1,Poor
2021-06-10,29.76,40.32,34.78,18.66,0.58,43.01,31.7,40.4,5.42,49.6,Good
2022-06-10,393.63,808.91,497.08,1730.45,46.24,878.17,15.7,77.5,1.65,500.0,Severe
2024-03-03,429.9,546.44,444.29,1829.53,41.05,1024.6,0.9,67.4,0.6,500.0,Severe
2022-05-31,41.43,59.79,77.47,78.33,1.24,76.98,34.1,51.7,5.23,98.0,Satisfactory
2023-11-07,29.6,44.67,7.18,11.74,0.37,27.83,20.5,27.9,8.83,49.3,Good
2021-04-04,294.77,435.55,485.56,1887.42,36.99,900.24,15.8,60.3,1.89,472.1,Severe
2021-02-27,211.42,356.71,337.15,1453.03,30.68,297.65,6.7,98.0,2.75,381.8,Very Poor
2024-05-11,58.88,101.2,77.61,45.47,1.89,56.44,17.8,33.5,3.38,101.7,Satisfactory
2022-05-16,473.16,1042.79,410.63,1954.14,46.1,940.23,15.4,88.8,1.66,500.0,Severe
2021-11-18,479.89,689.9,416.56,1632.88,44.74,850.55,0.6,68.5,0.51,500.0,Severe
2021-06-02,240.61,445.34,315.06,932.58,26.75,750.82,36.6,84.2,1.09,409.9,Very Poor
2022-09-26,204.99,421.85,346.54,870.26,33.61,381.78,31.0,56.9,1.82,397.8,Very Poor
2023-04-20,25.65,56.79,22.76,25.68,0.27,5.68,31.5,57.2,7.34,57.6,Good
2021-09-17,85.2,244.57,80.13,141.11,3.01,150.5,13.3,50.9,2.67,196.4,Moderate
2021-05-09,67.64,208.03,167.81,192.69,2.54,136.54,15.6,70.2,6.41,187.9,Moderate
2021-06-03,74.71,245.68,99.71,263.07,8.93,170.74,36.8,43.8,2.08,207.5,Moderate
2021-03-02,51.49,99.83,65.05,57.7,1.43,96.4,27.6,44.4,6.75,99.8,Satisfactory
2023-04-10,78.83,212.71,105.83,166.88,8.37,145.12,35.0,44.9,1.81,179.8,Moderate
2023-05-07,78.37,171.73,175.17,250.9,6.91,161.54,35.1,63.5,3.08,195.2,Moderate
2022-03-13,127.28,353.23,316.26,1139.68,24.5,511.45,32.5,73.0,1.29,356.6,Very Poor
2024-12-20,33.8,56.12,64.6,72.65,1.48,63.86,12.3,54.5,5.67,91.0,Satisfactory
2023-06-09,113.03,258.51,263.71,747.56,15.63,203.55,41.9,73.2,1.76,289.0,Poor
2023-05-06,363.62,543.03,485.06,1978.38,37.1,961.99,18.5,62.9,1.17,494.6,Severe
2021-04-02,11.19,41.31,30.07,10.03,0.65,18.49,19.0,28.5,11.96,41.3,Good
2021-03-25,14.22,25.14,3.14,21.16,0.97,33.84,28.4,30.0,4.07,48.4,Good
2021-07-14,70.48,183.22,159.37,321.37,2.47,145.43,23.6,49.0,6.06,180.6,Moderate
2022-01-06,338.45,441.42,416.16,1767.89,42.83,774.65,12.2,99.8,2.31,455.6,Severe
2024-04-16,83.61,169.02,144.54,212.12,5.1,152.95,20.7,42.5,3.34,178.9,Moderate
2021-01-30,74.17,234.74,116.96,355.44,3.47,96.01,13.7,59.3,5.84,191.9,Moderate
2021-08-01,181.57,360.31,306.75,1587.78,21.26,617.61,33.1,74.8,0.59,398.5,Very Poor
2024-10-20,74.39,242.09,115.11,138.94,4.12,137.85,21.9,37.6,5.0,194.8,Moderate
2023-02-12,11.15,27.38,16.81,28.56,0.91,24.53,17.6,42.3,7.74,45.5,Good
2022-12-15,80.42,211.9,141.97,222.94,5.65,120.16,25.4,52.5,3.85,174.8,Moderate
2021-12-06,102.91,322.71,256.47,666.67,10.25,165.47,12.8,73.5,1.42,276.7,Poor
2022-10-20,94.64,296.35,184.32,532.3,16.7,151.4,24.6,69.1,4.2,295.8,Poor
2022-02-09,3.75,15.56,22.38,23.16,0.18,5.37,21.5,38.4,11.73,29.0,Good
2022-08-09,51.06,77.34,56.11,65.16,1.6,75.18,34.8,67.6,2.66,85.4,Satisfactory
2024-02-14,9.12,46.77,19.04,10.33,0.43,40.64,17.3,73.5,10.19,46.8,Good
2024-06-05,36.9,54.94,50.43,57.08,1.35,94.85,34.2,48.6,3.95,94.9,Satisfactory
2024-03-18,113.21,342.12,238.73,608.63,10.33,188.99,13.0,73.5,2.2,292.2,Poor
2021-06-12,219.51,421.76,345.17,1448.07,20.53,568.61,25.5,81.4,1.28,389.8,Very Poor
2022-02-09,67.08,114.28,87.0,363.87,3.9,125.61,21.6,45.8,6.2,194.7,Moderate
2022-04-30,25.47,40.58,5.57,30.93,0.23,17.83,24.8,31.5,9.64,42.4,Good
2021-12-28,50.22,75.31,45.37,68.41,1.24,51.19,18.8,70.3,5.48,85.8,Satisfactory
2022-01-30,67.52,244.83,169.79,226.22,2.66,104.73,20.7,74.1,2.31,196.6,Moderate
2022-05-17,102.96,286.86,192.98,458.66,15.26,191.41,24.0,79.2,1.55,275.4,Poor
2022-11-21,19.29,24.89,35.29,36.13,0.12,43.03,23.4,45.8,9.54,45.2,Good
2021-06-13,38.74,83.49,47.01,71.52,1.17,77.51,36.1,52.4,7.59,89.6,Satisfactory
2024-10-25,244.25,424.11,309.81,991.87,24.22,319.17,14.0,76.5,3.59,395.6,Very Poor
2022-07-31,47.21,95.13,73.12,76.7,1.34,61.73,30.6,30.8,5.38,96.0,Satisfactory
2024-08-31,141.58,371.14,370.32,1108.17,22.78,632.5,39.0,54.2,2.48,378.8,Very Poor
2024-11-28,57.83,82.1,79.47,78.89,1.72,78.91,28.3,41.3,6.07,99.4,Satisfactory
2021-06-24,83.99,201.95,87.31,286.72,2.78,153.49,17.3,51.4,2.26,180.1,Moderate
2024-08-16,39.13,76.07,48.54,58.04,1.7,56.91,21.5,34.8,5.88,85.1,Satisfactory
2023-05-22,312.94,604.03,481.22,1741.91,42.67,1031.84,2.9,59.1,2.38,500.0,Severe
2021-05-01,74.65,174.02,137.59,167.95,5.46,158.99,24.7,67.5,2.31,186.9,Moderate
2024-06-11,82.49,221.27,103.37,375.32,2.62,142.65,30.8,72.6,3.84,198.4,Moderate
2024-11-05,56.52,94.42,46.8,47.86,1.29,78.33,16.7,60.5,4.03,94.5,Satisfactory
2022-12-20,85.59,167.62,108.58,131.69,7.15,136.48,9.9,49.3,3.9,185.4,Moderate
2021-05-21,59.09,94.8,72.14,50.45,1.18,82.87,23.7,58.1,4.1,98.5,Satisfactory
2023-06-18,39.43,82.84,58.27,65.2,1.25,79.97,30.1,54.6,7.55,83.2,Satisfactory
2023-12-26,77.21,222.19,108.83,146.53,3.68,137.04,13.1,61.5,3.64,181.6,Moderate
2023-02-09,113.98,280.81,274.29,774.63,13.59,156.61,23.0,75.5,3.75,294.3,Poor
2023-02-05,114.74,347.35,230.28,432.16,15.68,165.2,6.2,61.6,3.22,297.4,Poor
2024-06-02,26.19,55.96,23.38,39.22,0.55,20.07,32.2,54.5,10.25,56.8,Good
2022-12-01,297.64,434.95,514.48,1711.42,45.44,713.39,10.9,99.2,1.04,471.8,Severe
2023-03-01,52.89,93.36,73.83,40.98,1.14,107.43,29.7,68.3,7.41,111.7,Satisfactory
2022-06-22,138.15,394.4,315.6,1464.75,33.03,420.76,19.7,75.5,1.55,394.3,Very Poor
2024-07-31,86.23,237.74,119.46,339.89,7.56,138.26,32.3,40.0,3.08,191.9,Moderate
2022-12-21,45.32,67.94,69.43,48.99,1.64,59.34,25.9,55.8,3.64,87.0,Satisfactory
2023-03-25,91.03,330.71,195.53,683.4,10.2,213.17,8.8,40.3,1.49,301.9,Poor
2022-02-18,99.18,305.75,238.5,575.59,14.49,166.79,5.1,66.0,3.12,264.5,Poor
2022-08-14,26.5,43.05,16.24,13.71,0.4,39.07,28.4,57.2,4.02,44.2,Good
2024-07-18,90.5,345.44,221.02,518.71,11.57,226.09,43.1,46.8,3.85,304.3,Poor
2023-04-30,64.18,222.86,83.01,173.22,6.9,140.62,35.5,70.8,2.38,182.1,Moderate
2023-07-09,366.63,514.26,460.74,1677.09,41.43,1009.89,12.8,87.9,0.74,500.0,Severe
2024-04-13,91.11,304.71,216.08,417.93,16.8,186.3,15.9,84.4,3.13,297.1,Poor
2021-03-11,115.79,255.37,259.16,551.9,16.94,222.95,40.0,57.2,3.29,303.7,Poor
2021-03-07,19.19,25.61,13.8,4.47,0.54,51.53,28.2,64.5,9.27,52.4,Good
2023-07-03,6.78,27.14,15.23,17.55,0.42,12.62,34.8,28.4,9.4,27.1,Good
2024-06-08,63.08,161.94,156.35,272.95,6.64,119.11,17.8,75.8,3.73,176.6,Moderate
2023-08-06,23.48,31.73,36.56,4.78,0.69,15.6,23.0,35.0,7.19,45.7,Good
2022-01-16,355.79,459.46,460.59,1866.18,43.68,711.84,2.1,85.9,1.62,466.8,Severe
2023-11-24,159.31,403.79,326.74,1355.34,24.81,242.61,15.9,71.1,2.38,369.7,Very Poor
2021-05-21,47.25,94.69,50.71,71.91,1.82,98.97,19.9,57.6,4.53,99.0,Satisfactory
2022-11-01,167.33,429.05,328.65,1112.34,33.68,193.23,25.6,73.8,0.89,398.8,Very Poor
2022-05-14,77.61,146.28,140.81,86.16,5.69,155.07,32.8,50.0,4.52,181.2,Moderate
2023-06-09,31.3,89.01,51.35,59.43,1.62,83.95,34.5,65.4,6.79,89.2,Satisfactory
2021-02-13,206.03,389.58,348.1,1391.19,27.34,349.15,29.4,75.3,2.29,374.1,Very Poor
2023-01-19,71.08,200.71,122.48,129.39,3.01,136.73,19.2,70.4,3.89,167.4,Moderate
2022-12-27,92.16,332.45,204.49,479.57,13.11,168.34,13.7,84.3,2.11,282.6,Poor
2023-12-30,68.02,242.71,167.0,218.01,8.48,135.96,19.2,45.8,2.66,195.2,Moderate
2024-07-13,41.29,71.71,56.91,73.01,1.33,64.05,31.2,50.6,6.21,91.4,Satisfactory
2022-12-03,204.15,428.78,372.94,1139.13,23.03,591.19,15.1,76.3,2.35,398.5,Very Poor
2021-07-10,42.91,72.76,72.57,78.91,1.23,83.32,31.6,42.2,7.15,98.7,Satisfactory
2023-07-09,79.89,115.74,121.28,284.13,6.95,172.86,42.9,37.8,4.83,212.8,Moderate
2022-02-03,40.61,62.78,58.31,59.56,1.76,45.37,21.1,63.9,6.59,88.3,Satisfactory
2024-06-26,95.56,277.95,248.98,645.63,12.73,196.58,44.9,71.6,3.82,271.6,Poor
2023-05-20,55.86,88.8,66.38,56.68,1.86,70.8,32.6,34.5,6.81,93.2,Satisfactory
2023-04-03,78.13,104.32,170.76,131.95,8.93,183.05,37.7,75.8,3.85,238.1,Moderate
2021-10-17,479.16,716.45,531.52,1926.31,36.0,799.04,27.3,65.1,1.69,500.0,Severe
2024-05-15,105.98,326.93,219.49,553.6,10.49,190.37,14.4,73.2,2.72,277.1,Poor
2022-05-02,69.66,137.65,91.6,158.31,8.73,114.72,26.1,68.7,3.81,184.3,Moderate
2022-11-03,55.66,75.43,74.45,52.2,1.62,67.36,20.7,58.7,7.88,93.2,Satisfactory
2024-07-17,96.12,264.13,266.83,523.95,16.93,204.23,40.9,80.7,2.79,299.1,Poor
2024-10-31,55.88,96.91,48.82,44.53,1.41,51.59,31.0,51.7,7.09,97.0,Satisfactory
2024-07-30,213.36,379.12,383.02,1109.15,31.88,506.55,35.0,83.9,1.69,387.7,Very Poor
2021-05-07,7.19,38.26,33.97,18.8,0.49,22.54,27.7,37.0,9.57,42.5,Good
2022-09-05,110.6,273.85,213.0,491.89,12.75,186.43,27.3,51.0,4.1,268.9,Poor
2022-05-31,2.78,14.61,14.65,36.69,0.17,31.54,23.4,43.9,12.15,45.9,Good
2021-12-07,43.16,89.44,52.85,57.67,1.57,49.35,18.0,52.9,7.92,89.6,Satisfactory
2023-05-28,33.07,71.37,72.92,66.96,1.91,84.91,16.1,50.9,5.53,95.4,Satisfactory
2024-04-30,40.73,82.47,45.78,59.44,1.8,85.97,19.3,59.2,3.13,89.9,Satisfactory
2023-03-22,148.7,366.83,302.93,1591.99,26.17,552.74,19.9,65.3,2.39,399.0,Very Poor
2023-11-09,92.65,274.58,182.22,576.84,14.09,184.27,13.8,42.1,3.54,258.7,Poor
2021-06-26,36.71,93.99,43.18,78.19,1.41,79.63,21.0,58.4,6.6,97.8,Satisfactory
2023-01-14,357.1,560.67,441.11,1685.78,47.4,697.8,19.2,99.7,0.5,483.9,Severe
2022-10-05,31.34,52.47,70.25,62.55,1.14,54.13,31.9,62.5,7.9,88.0,Satisfactory
2022-03-12,68.34,174.18,93.34,119.82,4.38,170.6,25.3,58.5,6.47,207.2,Moderate
2022-08-06,77.14,155.39,84.78,261.05,5.67,138.2,22.9,75.7,3.63,160.7,Moderate
2023-12-17,37.97,95.42,73.32,78.85,1.81,48.43,23.4,71.8,5.7,98.6,Satisfactory
2023-06-09,93.41,325.48,217.63,543.19,14.08,202.96,18.8,70.2,3.79,287.5,Poor
2023-02-04,4.87,10.9,13.91,25.87,0.34,43.16,19.0,52.9,10.46,43.2,Good
2021-01-22,12.04,17.54,10.8,1.35,0.96,44.91,21.6,63.9,9.44,48.1,Good
2022-03-31,106.01,298.49,257.54,767.43,13.99,218.35,21.9,82.7,3.19,302.9,Poor
2024-05-01,390.27,529.02,425.62,1640.55,40.24,934.1,0.8,57.9,1.3,474.1,Severe
2023-02-13,378.62,655.4,528.01,1716.1,45.54,710.38,15.0,99.5,1.22,500.0,Severe
2021-04-26,6.11,11.7,29.03,1.46,0.8,17.07,30.6,49.9,12.04,39.8,Good
2023-02-10,111.93,346.91,201.7,527.03,11.76,184.53,2.7,77.5,3.6,296.9,Poor
2023-05-12,37.93,84.44,47.93,43.05,1.38,88.68,18.9,68.2,3.03,88.9,Satisfactory
2024-10-18,347.53,524.56,436.82,1912.73,37.07,823.08,8.4,88.0,1.99,478.4,Severe
2024-03-31,57.73,106.52,71.99,75.45,1.43,70.13,22.6,43.8,4.27,105.2,Satisfactory
2024-03-04,15.84,38.89,32.02,11.93,0.22,14.2,21.5,28.2,6.92,40.0,Good
2023-07-17,54.24,94.38,75.81,62.55,1.82,83.4,33.9,33.3,7.92,94.9,Satisfactory
2023-07-27,52.65,86.54,62.71,63.5,1.93,97.2,33.7,64.6,4.85,97.3,Satisfactory
2021-07-21,94.27,322.55,246.73,418.95,12.19,208.7,36.4,74.4,2.77,301.1,Poor
2023-08-18,60.69,158.18,142.36,281.33,3.08,146.62,28.4,65.6,4.63,168.8,Moderate
2021-05-10,110.06,303.79,188.23,772.92,14.99,201.77,35.9,47.6,4.2,293.6,Poor
2023-06-12,42.56,81.26,56.6,43.91,1.06,95.71,32.4,58.9,7.83,95.8,Satisfactory
2023-02-09,78.03,185.88,163.6,188.98,9.84,121.5,12.6,45.3,3.9,198.1,Moderate
2024-03-11,27.28,32.53,21.44,16.0,0.81,29.87,27.9,43.6,4.14,45.5,Good
2021-09-13,119.69,311.89,222.0,616.52,16.42,175.25,30.3,70.9,3.44,299.0,Poor
2023-12-29,112.91,338.64,195.88,486.49,15.48,154.75,10.9,65.0,1.83,288.8,Poor
2022-06-14,69.58,228.14,141.71,209.14,3.66,125.62,25.3,72.4,4.8,185.6,Moderate
2022-01-07,48.56,68.41,66.31,75.79,1.15,45.57,12.4,43.8,7.87,94.8,Satisfactory
2023-07-07,70.7,148.3,169.27,358.23,6.85,113.66,43.0,53.0,4.03,192.8,Moderate
2024-03-14,77.72,182.69,145.92,207.97,5.16,143.97,14.8,52.6,2.06,166.2,Moderate
2024-05-12,47.93,98.17,78.02,77.77,1.45,76.22,24.6,32.9,3.57,98.2,Satisfactory
2021-10-19,25.2,44.7,23.59,18.89,0.12,11.03,19.2,42.6,8.3,44.7,Good
2021-11-22,116.46,334.93,202.34,577.51,14.68,183.18,35.9,79.1,1.28,288.3,Poor
2022-01-13,44.78,55.4,64.16,43.09,1.74,62.65,18.0,61.7,5.82,87.3,Satisfactory
2021-11-07,15.66,28.44,39.17,24.34,0.99,40.04,31.2,63.0,10.65,49.3,Good
2021-11-08,76.85,214.96,155.36,106.41,3.6,150.88,37.7,60.0,2.26,176.9,Moderate
2024-05-11,119.08,277.21,197.84,568.19,16.66,198.68,26.3,74.3,3.52,297.0,Poor
2021-08-01,451.77,543.59,525.62,1794.06,46.74,857.24,23.5,58.3,2.36,480.9,Severe
2023-08-29,104.31,347.78,186.59,475.94,16.23,215.01,42.8,78.1,3.1,302.3,Poor
2024-02-23,108.24,298.02,193.05,520.4,16.41,159.83,33.9,69.0,4.09,291.6,Poor
2023-05-01,280.52,524.07,549.86,1725.88,44.44,857.72,3.3,79.5,0.74,475.2,Severe
2022-11-06,188.56,414.91,353.36,1027.22,27.44,630.28,15.3,76.2,1.92,381.3,Very Poor
2022-07-04,100.58,298.62,267.72,526.25,14.43,213.87,22.5,81.5,2.94,302.1,Poor
2024-07-17,40.03,88.57,56.62,59.12,1.53,87.12,22.5,38.6,4.54,88.8,Satisfactory
2021-10-03,77.7,244.59,162.5,128.38,3.58,142.99,34.6,74.2,3.8,196.4,Moderate
2021-09-03,63.9,124.15,141.07,253.87,7.63,110.75,32.8,39.9,2.75,170.7,Moderate
2024-05-24,78.19,118.45,164.53,143.83,2.55,150.44,30.9,38.8,4.37,184.7,Moderate
2021-06-22,440.53,732.94,402.19,1607.59,37.67,891.48,8.1,55.8,0.67,500.0,Severe
2022-02-17,270.0,492.08,503.54,1936.25,45.87,787.33,14.5,90.4,1.71,484.2,Severe
2021-07-18,469.83,980.3,517.35,1652.57,37.6,854.69,35.3,56.7,2.02,500.0,Severe
2024-04-09,172.37,406.0,326.25,970.47,25.86,557.29,33.2,57.2,1.24,370.3,Very Poor
2024-05-08,76.16,217.08,102.12,104.77,4.41,151.71,15.5,70.3,5.71,178.3,Moderate
2023-10-28,209.27,389.17,374.52,1022.56,22.13,426.52,12.3,51.6,0.73,379.0,Very Poor
2021-02-17,60.93,148.37,167.82,294.78,7.58,107.1,20.8,46.2,5.45,187.9,Moderate
2021-09-16,41.61,90.02,67.98,51.39,1.65,54.69,32.7,37.0,3.74,90.2,Satisfactory
2021-12-03,6.85,25.0,30.47,19.53,0.3,37.52,12.7,37.3,5.74,38.1,Good
2024-05-11,75.42,113.22,147.68,82.6,4.08,143.96,22.6,43.9,4.86,168.0,Moderate
2024-04-06,50.72,93.43,50.02,67.86,1.55,79.07,22.7,32.8,5.54,93.5,Satisfactory
2022-05-09,87.68,243.31,157.62,204.54,4.77,147.57,18.4,36.2,2.52,195.6,Moderate
2022-11-23,354.21,556.01,486.03,1998.65,45.45,825.18,11.7,58.3,2.08,499.7,Severe
2024-07-08,451.99,567.42,412.59,1890.36,35.78,988.98,22.7,67.3,0.77,495.7,Severe
2022-02-24,52.37,73.75,49.7,69.73,1.45,72.32,14.4,44.9,4.25,87.5,Satisfactory
2023-03-22,69.76,112.46,92.48,359.27,8.9,152.3,33.5,46.0,2.11,193.2,Moderate
2022-09-29,23.81,42.53,11.7,2.38,0.42,10.24,24.0,25.6,4.49,42.5,Good
2024-07-26,195.3,420.69,361.5,1275.72,31.97,724.3,22.5,59.4,1.1,395.6,Very Poor
2024-04-01,55.72,99.28,75.78,67.32,1.93,70.99,33.7,62.8,4.39,99.3,Satisfactory
2021-12-09,155.4,394.37,301.27,1495.08,25.2,522.14,1.3,87.9,1.72,387.0,Very Poor
2024-06-22,456.87,675.87,466.8,1714.74,46.87,896.31,15.2,84.4,0.69,500.0,Severe
2021-04-16,47.45,92.46,78.47,51.71,1.73,72.85,34.5,36.2,6.9,98.1,Satisfactory
